data_name,seed,prerank,pce,nll,energy,mse,train_time_seconds,epochs_trained,best_epoch
scm20d,0.0,marginal,0.073099591769278,7.899887800216675,2.2863705158233643,0.7807348147034645,117.68694492499344,75.0,59.0
scm20d,42.0,marginal,0.07610718999058,7.767019629478455,2.3267472982406616,0.8013723939657211,119.29097839200404,76.0,60.0
scm20d,866.0,marginal,0.064291481859982,7.395282447338104,2.308794856071472,0.8014639019966125,110.43896264501382,68.0,52.0
scm20d,12.0,marginal,0.0637187082320451,8.35208112001419,2.342753469944,0.8201396390795708,96.79107528494204,63.0,47.0
scm20d,4.0,marginal,0.0737664196640253,7.560141026973724,2.3356738090515137,0.815433144569397,116.91145558806602,75.0,59.0
scm1d,0.0,marginal,0.0642056630717383,11.317640622456867,1.9125512970818412,0.5458520617749956,137.89944152592216,84.0,68.0
scm1d,42.0,marginal,0.0523567423224449,5.97253614001804,2.042685627937317,0.6373867789904276,140.1846823040396,86.0,70.0
scm1d,866.0,marginal,0.0621490424705876,6.858479658762614,2.117644045088026,0.696499228477478,141.66329573397525,89.0,73.0
scm1d,12.0,marginal,0.0528297391202714,6.093445512983534,2.0873349242740207,0.6747572951846652,144.97710828494746,91.0,75.0
scm1d,4.0,marginal,0.0584038893381754,6.37229945924547,2.2078430122799344,0.7497821119096544,119.20582661195658,74.0,58.0
wq,0.0,marginal,0.1530652344226837,20.563560485839844,2.5378637313842773,0.988978922367096,141.82192063098773,127.0,111.0
wq,42.0,marginal,0.1823535412549972,21.105802536010746,2.520712852478028,0.957210659980774,30.64352939894889,27.0,11.0
wq,866.0,marginal,0.163588210940361,23.94174194335937,2.736002206802368,1.146677851676941,81.93100288906135,73.0,57.0
wq,12.0,marginal,0.1855561435222625,113.69854736328124,2.574413299560547,0.9881760478019714,30.77236082602758,27.0,11.0
wq,4.0,marginal,0.1638049930334091,2144.67333984375,2.6646361351013184,1.082149624824524,122.35763261502144,110.0,95.0
scpf,0.0,marginal,0.2120700478553772,-4.91706132888794,0.2189959734678268,0.1927418261766433,257.7288699550554,239.0,223.0
scpf,42.0,marginal,0.1859944313764572,-4.817673206329346,0.2360696494579315,0.1387215256690979,229.94009921199176,215.0,199.0
scpf,866.0,marginal,0.1796506643295288,-4.62830114364624,0.4944836795330047,0.964530348777771,314.1584110020194,292.0,276.0
scpf,12.0,marginal,0.1913343071937561,-3.784079790115357,0.8556072115898132,4.338780403137207,268.2237816780107,245.0,229.0
scpf,4.0,marginal,0.1589791625738144,-4.319380283355713,0.539567232131958,1.191481113433838,267.7868527310202,246.0,230.0
meps_21,0.0,marginal,0.1081934352405369,-1.9432474002242088,0.3922664783895015,0.6417597103863955,183.80364337703213,109.0,93.0
meps_21,42.0,marginal,0.1131219207309186,-1.845398619771004,0.3901714198291302,0.6423013461753726,140.80000776797533,83.0,67.0
meps_21,866.0,marginal,0.1132192895747721,-1.9811288490891457,0.387657193467021,0.6830845102667809,142.3030574650038,82.0,66.0
meps_21,12.0,marginal,0.1088386718183755,-1.794667936861515,0.3820565622299909,0.5646595489233732,189.56635208404623,103.0,87.0
